"category_id","asin","Predicted","category_name"
136,"B0BCQM47NZ",1,"Sports Nutrition Products"
139,"B08335MYGW",1,"Power Transmission Products"
143,"B007QU2UAA",1,"Industrial Adhesives, Sealants & Lubricants"
146,"B0C5QJDQ8P",1,"Industrial Power & Hand Tools"
146,"B0BJQBVLMT",1,"Industrial Power & Hand Tools"
146,"B011H3IQ5O",1,"Industrial Power & Hand Tools"
146,"B00GIHDDJY",1,"Industrial Power & Hand Tools"
149,"B0002YSMYK",1,"Electronic Components"
150,"B0888DYNGB",1,"Lab & Scientific Products"
156,"B075CZKGYQ",1,"Food Service Equipment & Supplies"
156,"B0B5R8ZKBT",1,"Food Service Equipment & Supplies"
156,"B000NSIF9C",1,"Food Service Equipment & Supplies"
156,"B09MHTBS4P",1,"Food Service Equipment & Supplies"
156,"B0749H4S9D",1,"Food Service Equipment & Supplies"
156,"B0BRYNKKG3",1,"Food Service Equipment & Supplies"
156,"B08F3GB1QF",1,"Food Service Equipment & Supplies"
156,"B08DH8Z351",1,"Food Service Equipment & Supplies"
156,"B00NLK65ZA",1,"Food Service Equipment & Supplies"
156,"B074P23NVX",1,"Food Service Equipment & Supplies"
156,"B09LDCNKDH",1,"Food Service Equipment & Supplies"
156,"B07VTN3X14",1,"Food Service Equipment & Supplies"
156,"B089PY61SW",1,"Food Service Equipment & Supplies"
156,"B07YWHMBKC",1,"Food Service Equipment & Supplies"
156,"B08GCYNY7Y",1,"Food Service Equipment & Supplies"
156,"B005P3GVXW",1,"Food Service Equipment & Supplies"
156,"B0721MGRVX",1,"Food Service Equipment & Supplies"
156,"B0B8VTG8FD",1,"Food Service Equipment & Supplies"
156,"B0B1QDNB6F",1,"Food Service Equipment & Supplies"
156,"B097CH55HJ",1,"Food Service Equipment & Supplies"
156,"B094VBY4G7",1,"Food Service Equipment & Supplies"
156,"B07RS9RDJR",1,"Food Service Equipment & Supplies"
156,"B0B4CW8VTY",1,"Food Service Equipment & Supplies"
156,"B0BHYGZ3DZ",1,"Food Service Equipment & Supplies"
156,"B0B8NSC37W",1,"Food Service Equipment & Supplies"
156,"B07DGP1FCD",1,"Food Service Equipment & Supplies"
156,"B0B5K6XHZ2",1,"Food Service Equipment & Supplies"
156,"B07TCBFT3Y",1,"Food Service Equipment & Supplies"
156,"B0C8992269",1,"Food Service Equipment & Supplies"
156,"B07MP89LF7",1,"Food Service Equipment & Supplies"
156,"B0C28GZCHT",1,"Food Service Equipment & Supplies"
156,"B0917CW45F",1,"Food Service Equipment & Supplies"
156,"B084G9N36B",1,"Food Service Equipment & Supplies"
156,"B08R6FQP3N",1,"Food Service Equipment & Supplies"
156,"B0BZX3Z8P9",1,"Food Service Equipment & Supplies"
156,"B0BMX7BVHV",1,"Food Service Equipment & Supplies"
156,"B095S7HYCK",1,"Food Service Equipment & Supplies"
156,"B0BDR1HQMM",1,"Food Service Equipment & Supplies"
156,"B09997T9D7",1,"Food Service Equipment & Supplies"
